コンピュータの基本構成を提唱した「プログラム内蔵方式」を考案した人物として正しいものはどれか,4,ゴードン・ムーア,アラン・チューリング,クロード・シャノン,ジョン・フォン・ノイマン
コンピュータのメモリ階層において，最も高速かつ最も小容量の記憶装置はどれか,3,L2キャッシュ,NVMe SSD,CPUレジスタ,主記憶（RAM）
「ムーアの法則」が示す内容として最も適切なものはどれか,3,CPUのクロック周波数は毎年2倍になる,ストレージの容量は毎年3倍になる,半導体の集積回路に搭載できるトランジスタ数は約2年ごとに2倍になる,ネットワーク帯域幅は毎年2倍になる
オペレーティングシステム（OS）の役割として誤っているものはどれか,3,デバイス管理（入出力装置の制御）,プロセス管理（CPUスケジューリング）,業務アプリケーションの開発,ファイルシステム管理
インターネットの基盤技術として採用されているデータ転送方式はどれか,1,パケット交換,フレームリレー交換,セル交換,回線交換
LAN（Local Area Network）の説明として最も適切なものはどれか,3,地理的に離れた拠点間を専用線やVPNで接続した広域ネットワーク,衛星通信を利用した宇宙規模のネットワーク,企業のオフィス内や大学キャンパス内など比較的狭い範囲のネットワーク,世界中のネットワークをTCP/IPで相互接続したグローバルネットワーク
TCP/IPにおいて，WebページのURLを入力した際にドメイン名をIPアドレスに変換する役割を担うシステムはどれか,4,POP3,FTP,SMTP,DNS
データベース管理システム（DBMS）がフラットファイル方式と比較して優れている点として誤っているものはどれか,1,データを人間が直接読み書きできる形式で保存する,複数ユーザの同時アクセス制御,ユーザごとのアクセス権限設定,データの一元管理による冗長性の排除
ACID特性の「A（Atomicity：原子性）」の説明として最も適切なものはどれか,3,複数のトランザクションが同時に実行されても互いに干渉しない,コミットされたデータは障害が発生してもデータが失われない,トランザクションはすべて成功するか，すべて失敗するかのどちらかであり，中途半端な状態にならない,トランザクション前後でデータの整合性制約が常に満たされる
リレーショナルデータベースにおける「外部キー（Foreign Key）」の説明として正しいものはどれか,3,テーブル内の各行を一意に識別する列,データ検索を高速化するために作成するインデックス,別のテーブルの主キーを参照する列で，テーブル間のリレーションシップを定義する,暗号化されたパスワードを格納するための特別な列
SQLの「CRUD」操作において，「R（Read）」に対応するSQL文はどれか,4,DELETE FROM,INSERT INTO,UPDATE SET,SELECT
NISTによるクラウドサービスモデルの分類において，「完成したソフトウェアをインターネット経由でサービスとして提供する」モデルはどれか,1,SaaS（Software as a Service）,IaaS（Infrastructure as a Service）,PaaS（Platform as a Service）,DaaS（Desktop as a Service）
クラウド活用のリスクとして挙げられる「ベンダーロックイン」の説明として最も適切なものはどれか,2,重要な企業データをクラウド上に置くことへのセキュリティ上の不安,特定クラウドベンダーの独自サービスへの依存により，乗り換えコストが高くなること,従量課金の管理不足により，予期しない高額請求が発生すること,クラウドへの通信遅延により，リアルタイム処理が困難になること
企業において従業員が個人所有のスマートフォンやPCを業務に使用する方式を何というか,3,MAM（Mobile Application Management）,MDM（Mobile Device Management）,BYOD（Bring Your Own Device）,UEM（Unified Endpoint Management）
MDM（Mobile Device Management）の機能として含まれないものはどれか,3,企業のモバイルデバイスの一元管理・監視,スマートフォンの製造・ハードウェア設計,セキュリティポリシーの強制適用,リモートワイプ（遠隔データ消去）